filename,mfcc1,mfcc1V,mfcc_diff1,mfcc_diff1V,mfcc2,mfcc2V,mfcc_diff2,mfcc_diff2V,mfcc3,mfcc3V,mfcc_diff3,mfcc_diff3V,mfcc4,mfcc4V,mfcc_diff4,mfcc_diff4V,mfcc5,mfcc5V,mfcc_diff5,mfcc_diff5V,mfcc6,mfcc6V,mfcc_diff6,mfcc_diff6V,mfcc7,mfcc7V,mfcc_diff7,mfcc_diff7V,mfcc8,mfcc8V,mfcc_diff8,mfcc_diff8V,mfcc9,mfcc9V,mfcc_diff9,mfcc_diff9V,mfcc10,mfcc10V,mfcc_diff10,mfcc_diff10V,mfcc11,mfcc11V,mfcc_diff11,mfcc_diff11V,mfcc12,mfcc12V,mfcc_diff12,mfcc_diff12V,label
blues.00000.au,-113.5967422,50.64881997,0.097180654,24.14894174,121.557302,17.20090847,0.030844246,8.24203173,-19.15882457,15.35078233,-0.020307662,6.489854808,42.35102876,12.28488386,0.012723376,5.84617537,-6.376457094,12.95710035,0.001962182,5.844573785,18.61887471,9.445806006,0.005325185,4.965582272,-13.69791086,8.22503556,0.000183628,4.784702352,15.3446302,8.305548254,0.008807169,4.478435019,-12.28526575,9.061618464,0.002058016,4.680624629,10.98049082,7.963517575,-0.012022072,4.432386139,-8.324323401,7.862141098,-0.005807197,4.266156077,8.810668332,7.157399709,0.005094524,4.288517164,blues
blues.00001.au,-207.556796,88.12844001,0.1445002,29.49419104,124.0067172,23.67383279,-0.036391944,10.51669615,8.930561659,23.92926165,0.007392876,7.748144229,35.87468448,16.26991679,0.008104103,7.010668461,2.916037722,16.73591336,-0.030571447,6.938206031,21.52372484,12.50780205,0.016164108,5.416308023,-8.554703082,14.17741128,-0.010823983,5.181077343,23.35867245,11.93652334,0.036689899,5.134818527,-10.10361636,12.8947246,-0.006294998,5.309791947,11.90374352,10.21995664,0.005937386,4.561132368,-5.560387184,10.26249229,-0.015103654,4.394989352,5.376802045,9.812360862,0.004406197,4.158360174,blues
blues.00002.au,-90.75439379,57.62578596,-0.030420077,31.73109818,140.4599069,22.56039634,-0.007497185,11.92219017,-29.10996529,20.2924471,0.028722675,10.51735407,31.6890144,12.00720951,0.011682106,6.488551638,-13.98703601,12.47601829,0.003803491,6.702350831,25.75476116,8.631958893,-0.00675896,5.051761184,-13.6495859,10.33465337,-0.015789906,5.750614616,11.629271,10.32379791,0.000228422,5.738569589,-11.78058891,8.098292039,0.012356735,5.280346923,9.70644235,8.235600569,0.004946129,4.966616696,-13.12311144,7.596486614,0.002738769,4.464347307,5.789264865,8.033044791,-0.000575544,4.507844557,blues
blues.00003.au,-199.4311444,74.13010842,-0.114719762,25.45616536,150.0992178,21.37236174,-0.029326847,10.05906897,5.647594316,16.03326269,0.022579961,7.156083442,26.87192745,12.57681286,-0.008818351,5.87198406,1.754462574,16.36676971,0.010582312,6.096216616,14.23834423,11.26358585,-0.002102697,4.898450957,-4.830882173,12.49124273,-0.005376113,4.676060961,9.297965261,9.008867427,-0.018534545,4.445296114,-0.757741166,9.601001456,-0.014180486,4.611069458,8.149012191,8.438341306,-0.0103208,4.11617293,-3.196313537,10.50233728,-0.007669497,4.098316206,6.087675943,6.942457326,-0.010201594,3.950581269,blues
blues.00004.au,-160.2660312,72.06144856,0.018419583,32.4022037,126.1988004,29.22114224,0.009087924,10.70580085,-35.60544845,18.2660859,0.011919187,9.836347589,22.1533011,13.9121188,0.014260755,6.383337571,-32.48926973,18.3412119,-0.004008916,7.385618315,10.86451213,11.6077429,0.002841688,5.892601874,-23.35792857,9.658837688,0.003548814,5.470514991,0.503116736,11.16860229,-0.004373228,5.271440907,-11.80583116,11.40060231,0.004428632,5.00844704,1.206804106,9.987699212,0.012907144,5.434107396,-13.08382034,8.962363513,0.008910317,4.659304658,-2.806384649,9.298361358,0.006576526,5.246278466,blues
blues.00005.au,-177.8690482,85.44882208,0.135380099,32.73388937,118.1969162,56.54703127,-0.002490014,12.36452749,-17.55067264,25.58477156,-0.046099153,9.406102533,30.75863456,22.04779035,-0.009679857,7.823224301,-21.74274602,20.8258817,0.001933251,7.765171378,11.9038018,16.31608545,0.021170131,5.715036859,-20.73424857,13.03318492,-0.010616466,5.524783577,3.180597272,11.56677376,-0.003048254,4.812213446,-8.583483732,13.12841029,-0.003425512,5.240824191,-0.936487501,10.00926171,0.000227681,4.801872827,-11.77627331,8.751357488,-0.004998706,4.219994226,-2.420614626,8.859220847,0.028041443,4.35506896,blues
blues.00006.au,-190.1494699,98.24462203,0.024141303,35.90928163,130.296951,43.97969504,-0.028182684,12.6117208,-36.34413831,36.16195455,-0.02761849,13.67760417,33.01305036,21.91726895,0.023658099,8.29593214,11.10693553,32.93151719,-0.0280747,8.684806212,-0.615158307,16.75944706,0.030182194,6.868352351,-20.86200954,12.33914018,-0.027035719,5.698705137,0.270091124,10.14816535,0.009292126,5.058717755,-6.489759729,11.44663207,0.002380154,5.545843601,-5.517093201,12.39267274,0.010646198,5.554891131,-7.840327992,9.35456565,0.001937575,4.491982229,-3.125678352,8.015257054,0.005429156,4.53340977,blues
blues.00007.au,-179.3954468,81.09185326,0.021262407,30.43724691,136.4592443,38.47554581,0.023884785,10.79914412,-26.65635893,24.32840859,-0.028598383,9.5017062,39.98802679,18.78255384,0.014961903,7.331906346,5.289679319,25.50454333,0.024144339,8.841263479,10.92442691,11.67802665,0.004381031,5.583690221,-20.56188911,12.80003487,0.003414133,5.49840015,8.513764279,12.30510267,-0.031069298,5.059020969,-11.3569082,13.11819457,0.005830777,5.648000957,-3.469077424,13.35470043,-0.017239656,5.226588647,-8.414554364,12.14870805,-0.01531051,4.452105318,-6.954826968,9.151857074,-0.003173001,4.662307602,blues
blues.00008.au,-121.3610235,51.22666519,-0.048818794,25.71343938,122.5131158,20.36899468,-0.007863882,10.42583973,-14.74212969,18.47756742,0.016766533,9.589018257,46.14344435,13.91389596,0.00727321,6.139347413,-8.165333685,13.30142814,-0.009081007,5.941576796,20.17652623,10.3465729,0.009746489,5.693825407,-19.17247842,7.595932332,0.000775085,4.542904938,23.05561674,8.764011947,-0.00078541,5.203035741,-11.83050252,6.522557553,-0.010466054,3.956269785,21.17700883,7.638631191,-0.012918155,4.7346594,-6.721190455,6.996883456,6.93E-05,4.155055274,7.01094493,7.488170239,-0.010042217,4.550803074,blues
blues.00009.au,-213.1808031,78.31963619,-0.076361841,18.29487649,115.1527937,28.26088057,0.003059663,9.043664204,-11.71626441,25.8611632,0.028719383,7.523944501,39.02947022,18.72648077,-0.020534909,6.2316358,-20.35275538,23.07006309,0.009576365,6.375661217,13.08240382,16.70355459,0.027611062,5.122467454,-9.173480965,11.26233597,-0.022523198,4.539027507,9.01614795,8.247937865,-0.002886342,4.067585814,-14.09791352,10.4950206,-0.002183133,4.385161538,4.278177139,9.618865378,-0.007403807,4.262607781,-6.039593544,9.216414437,-0.016624514,4.042526009,3.784770211,10.22360115,0.004961558,3.952612518,blues
