filename,chroma_stft,chroma_stft_v,chroma_stft_diff,chroma_stft_diff_v,rmse,rmse_v,rmse_diff,rmse_diff_v,spectral_centroid,spectral_centroid_v,spectral_centroid_diff,spectral_centroid_diff_v,spectral_bandwidth,spectral_bandwidth_v,spectral_bandwidth_diff,spectral_bandwidth_diff_v,spectral_contrast,spectral_contrast_v,spectral_contrast_diff,spectral_contrast_diff_v,spectral_flatness,spectral_flatness_v,spectral_flatness_diff,spectral_flatness_diff_v,spectral_rolloff,spectral_rolloff_v,spectral_rolloff_diff,spectral_rolloff_diff_v,zcr,zcr_v,zcr_diff,zcr_diff_v,mfcc1,mfcc1_v,mfcc1_diff,mfcc1_diff_v,mfcc2,mfcc2_v,mfcc2_diff,mfcc2_diff_v,mfcc3,mfcc3_v,mfcc3_diff,mfcc3_diff_v,mfcc4,mfcc4_v,mfcc4_diff,mfcc4_diff_v,mfcc5,mfcc5_v,mfcc5_diff,mfcc5_diff_v,mfcc6,mfcc6_v,mfcc6_diff,mfcc6_diff_v,mfcc7,mfcc7_v,mfcc7_diff,mfcc7_diff_v,mfcc8,mfcc8_v,mfcc8_diff,mfcc8_diff_v,mfcc9,mfcc9_v,mfcc9_diff,mfcc9_diff_v,mfcc10,mfcc10_v,mfcc10_diff,mfcc10_diff_v,mfcc11,mfcc11_v,mfcc11_diff,mfcc11_diff_v,mfcc12,mfcc12_v,mfcc12_diff,mfcc12_diff_v,mfcc13,mfcc13_v,mfcc13_diff,mfcc13_diff_v,mfcc14,mfcc14_v,mfcc14_diff,mfcc14_diff_v,mfcc15,mfcc15_v,mfcc15_diff,mfcc15_diff_v,mfcc16,mfcc16_v,mfcc16_diff,mfcc16_diff_v,mfcc17,mfcc17_v,mfcc17_diff,mfcc17_diff_v,mfcc18,mfcc18_v,mfcc18_diff,mfcc18_diff_v,mfcc19,mfcc19_v,mfcc19_diff,mfcc19_diff_v,mfcc20,mfcc20_v,mfcc20_diff,mfcc20_diff_v,label
blues.00000.au,0.349943197,0.297925589,6.36E-05,6.36E-05,0.13022463,0.0531873,9.51E-05,9.51E-05,1784.420446,360.2633609,-0.527211139,-0.527211139,2002.650192,293.0819633,-0.476667151,-0.476667151,20.53073252,8.761008543,-0.004000729,-0.004000729,0.004498873,0.005514623,-7.69E-06,-7.69E-06,3806.485316,949.5588061,-1.459454123,-1.459454123,0.083066391,0.027689967,-3.78E-06,-3.78E-06,-113.5967422,50.64881997,0.097180654,24.14894174,121.557302,17.20090847,0.030844246,8.24203173,-19.15882457,15.35078233,-0.020307662,6.489854808,42.35102876,12.28488386,0.012723376,5.84617537,-6.376457094,12.95710035,0.001962182,5.844573785,18.61887471,9.445806006,0.005325185,4.965582272,-13.69791086,8.22503556,0.000183628,4.784702352,15.3446302,8.305548254,0.008807169,4.478435019,-12.28526575,9.061618464,0.002058016,4.680624629,10.98049082,7.963517575,-0.012022072,4.432386139,-8.324323401,7.862141098,-0.005807197,4.266156077,8.810668332,7.157399709,0.005094524,4.288517164,-3.667367432,6.422199499,0.001581172,3.904113111,5.751690395,6.369078081,-0.010841838,3.86395528,-5.16276137,7.057897863,-0.007587718,3.936487402,0.7509466,7.242872175,0.00557348,3.754586447,-1.691937255,6.045715393,-0.001675446,3.862561192,-0.409953693,6.453121875,-0.012809208,3.937618464,-2.300208093,7.422604955,-0.009922896,3.883179601,1.219928131,6.853561551,-0.00392913,3.828393488,blues
blues.00001.au,0.340983162,0.308190337,-0.000314542,-0.000314542,0.095918424,0.048718158,4.81E-05,4.81E-05,1529.835316,613.1753615,0.787014312,0.787014312,2038.617579,462.3791332,0.790755424,0.790755424,20.67633376,8.239386671,-0.001066915,-0.001066915,0.002294459,0.004851862,2.40E-06,2.40E-06,3548.820207,1725.249654,2.877209558,2.877209558,0.056044257,0.038059208,2.72E-05,2.72E-05,-207.556796,88.12844001,0.1445002,29.49419104,124.0067172,23.67383279,-0.036391944,10.51669615,8.930561659,23.92926165,0.007392876,7.748144229,35.87468448,16.26991679,0.008104103,7.010668461,2.916037722,16.73591336,-0.030571447,6.938206031,21.52372484,12.50780205,0.016164108,5.416308023,-8.554703082,14.17741128,-0.010823983,5.181077343,23.35867245,11.93652334,0.036689899,5.134818527,-10.10361636,12.8947246,-0.006294998,5.309791947,11.90374352,10.21995664,0.005937386,4.561132368,-5.560387184,10.26249229,-0.015103654,4.394989352,5.376802045,9.812360862,0.004406197,4.158360174,-2.239119328,8.055375885,0.004260348,3.908121897,4.216963081,8.554978314,0.01068355,4.204149547,-6.012273272,7.243463545,0.003889623,4.045171275,0.936108547,7.440762178,0.004055415,3.789741494,-0.716536847,7.75287513,-0.014020459,3.861852247,0.293875173,6.939540259,0.003629864,3.866130191,-0.287430665,7.150418905,0.002964519,3.665760347,0.531572923,6.769420454,-0.00122977,3.639882907,blues
blues.00002.au,0.363602838,0.292038766,-0.000148447,-0.000148447,0.175573036,0.052423287,-1.84E-05,-1.84E-05,1552.481958,395.6340705,0.010894525,0.010894525,1747.165985,275.7656745,0.30520987,0.30520987,22.19726516,8.727204457,-0.006526744,-0.006526744,0.002627773,0.003344165,1.85E-06,1.85E-06,3040.514948,884.93838,0.200153708,0.200153708,0.076300748,0.031737819,1.17E-05,1.17E-05,-90.75439379,57.62578596,-0.030420077,31.73109818,140.4599069,22.56039634,-0.007497185,11.92219017,-29.10996529,20.2924471,0.028722675,10.51735407,31.6890144,12.00720951,0.011682106,6.488551638,-13.98703601,12.47601829,0.003803491,6.702350831,25.75476116,8.631958893,-0.00675896,5.051761184,-13.6495859,10.33465337,-0.015789906,5.750614616,11.629271,10.32379791,0.000228422,5.738569589,-11.78058891,8.098292039,0.012356735,5.280346923,9.70644235,8.235600569,0.004946129,4.966616696,-13.12311144,7.596486614,0.002738769,4.464347307,5.789264865,8.033044791,-0.000575544,4.507844557,-8.905224434,7.774160555,0.004766799,4.238301534,-1.08371999,7.597540512,-0.002424977,4.552457061,-9.218358897,6.040387061,-0.008929884,4.076000073,2.45580523,6.372683063,-0.002816116,4.066116592,-7.726901333,6.904746595,0.003507971,3.79519393,-1.815723851,7.2405189,0.003632633,3.867179711,-3.433434272,6.828190453,-0.004766548,4.151152494,-2.226821441,5.529573383,-0.008339308,3.709918397,blues
blues.00003.au,0.404779002,0.306608819,1.30E-05,1.30E-05,0.141191185,0.079616547,-0.000103714,-0.000103714,1070.119953,429.5327908,0.231921336,0.231921336,1596.333948,408.1195472,0.302045387,0.302045387,21.42876408,7.962859091,-0.003993445,-0.003993445,0.000953454,0.001631662,8.69E-07,8.69E-07,2185.028454,1222.395194,0.391967679,0.391967679,0.033308944,0.020568772,1.25E-05,1.25E-05,-199.4311444,74.13010842,-0.114719762,25.45616536,150.0992178,21.37236174,-0.029326847,10.05906897,5.647594316,16.03326269,0.022579961,7.156083442,26.87192745,12.57681286,-0.008818351,5.87198406,1.754462574,16.36676971,0.010582312,6.096216616,14.23834423,11.26358585,-0.002102697,4.898450957,-4.830882173,12.49124273,-0.005376113,4.676060961,9.297965261,9.008867427,-0.018534545,4.445296114,-0.757741166,9.601001456,-0.014180486,4.611069458,8.149012191,8.438341306,-0.0103208,4.11617293,-3.196313537,10.50233728,-0.007669497,4.098316206,6.087675943,6.942457326,-0.010201594,3.950581269,-2.476420489,7.538023023,-0.00771873,3.880121293,-1.073890395,7.893013044,-0.01234426,3.782035743,-2.874777409,7.188340201,-0.006148601,3.551305675,0.780976293,6.66784374,-0.003785543,3.525871955,-3.316932191,7.087620848,-0.003567521,3.425434835,0.637980873,6.111054859,-0.000677676,3.3976406,-0.619689823,6.107267336,-0.005238291,3.232182442,-3.408233245,5.654807396,-0.007559401,3.154827837,blues
blues.00004.au,0.308590128,0.296394817,-1.18E-05,-1.18E-05,0.091563217,0.047996271,-1.97E-05,-1.97E-05,1835.494603,585.961468,-0.119135727,-0.119135727,1748.362448,297.4323676,-0.081419486,-0.081419486,21.46773919,7.938794966,-0.00231932,-0.00231932,0.00323925,0.004357707,-6.46E-07,-6.46E-07,3580.945013,1253.915665,-0.200153708,-0.200153708,0.101500142,0.044198516,7.56E-06,7.56E-06,-160.2660312,72.06144856,0.018419583,32.4022037,126.1988004,29.22114224,0.009087924,10.70580085,-35.60544845,18.2660859,0.011919187,9.836347589,22.1533011,13.9121188,0.014260755,6.383337571,-32.48926973,18.3412119,-0.004008916,7.385618315,10.86451213,11.6077429,0.002841688,5.892601874,-23.35792857,9.658837688,0.003548814,5.470514991,0.503116736,11.16860229,-0.004373228,5.271440907,-11.80583116,11.40060231,0.004428632,5.00844704,1.206804106,9.987699212,0.012907144,5.434107396,-13.08382034,8.962363513,0.008910317,4.659304658,-2.806384649,9.298361358,0.006576526,5.246278466,-6.934122214,9.466887074,-0.004371038,5.247135304,-7.558618519,8.423468894,-0.008243525,4.660803334,-9.173552251,8.702869064,-0.001464561,4.553095064,-4.51216586,9.275314836,0.000373848,4.345553936,-5.453538244,8.679119214,0.004705593,5.064842635,-0.924161636,7.32008281,0.000952538,4.592415465,-4.409332528,7.932865588,0.00306479,4.634025807,-11.70378126,7.43207894,-7.71E-05,4.765277379,blues
blues.00005.au,0.302346427,0.295878015,-3.27E-06,-3.27E-06,0.103467584,0.063109048,7.80E-05,7.80E-05,1831.942368,1015.509231,0.361092594,0.361092594,1729.483241,449.4754559,-0.074507074,-0.074507074,22.5474526,8.180264213,-0.003946513,-0.003946513,0.003055743,0.006481773,5.57E-06,5.57E-06,3480.937285,1810.117381,0.23351266,0.23351266,0.09403987,0.078975755,5.60E-05,5.60E-05,-177.8690482,85.44882208,0.135380099,32.73388937,118.1969162,56.54703127,-0.002490014,12.36452749,-17.55067264,25.58477156,-0.046099153,9.406102533,30.75863456,22.04779035,-0.009679857,7.823224301,-21.74274602,20.8258817,0.001933251,7.765171378,11.9038018,16.31608545,0.021170131,5.715036859,-20.73424857,13.03318492,-0.010616466,5.524783577,3.180597272,11.56677376,-0.003048254,4.812213446,-8.583483732,13.12841029,-0.003425512,5.240824191,-0.936487501,10.00926171,0.000227681,4.801872827,-11.77627331,8.751357488,-0.004998706,4.219994226,-2.420614626,8.859220847,0.028041443,4.35506896,-9.339364687,8.96260777,-0.021385974,4.021316772,-9.939324892,6.89756196,-0.000832312,3.993337225,-3.909892093,7.750657366,0.008845547,3.98152495,-5.570624715,8.518281974,-0.002857276,3.700812111,-1.839023212,8.291841322,-0.007747452,3.859909168,-2.778421089,6.514775968,-0.005875576,3.569250397,-3.046866149,6.311963995,0.003704466,3.506378883,-8.115809022,6.804971586,0.005427482,3.602612315,blues
blues.00006.au,0.291308002,0.306587441,4.88E-05,4.88E-05,0.141795814,0.09382356,2.91E-05,2.91E-05,1459.078483,661.8856703,0.401137696,0.401137696,1388.913312,430.296227,-0.135641841,-0.135641841,23.43448815,7.035454569,-0.000668024,-0.000668024,0.000968056,0.002869481,5.92E-07,5.92E-07,2795.616429,1273.841376,0.35026899,0.35026899,0.073027903,0.043698911,4.65E-05,4.65E-05,-190.1494699,98.24462203,0.024141303,35.90928163,130.296951,43.97969504,-0.028182684,12.6117208,-36.34413831,36.16195455,-0.02761849,13.67760417,33.01305036,21.91726895,0.023658099,8.29593214,11.10693553,32.93151719,-0.0280747,8.684806212,-0.615158307,16.75944706,0.030182194,6.868352351,-20.86200954,12.33914018,-0.027035719,5.698705137,0.270091124,10.14816535,0.009292126,5.058717755,-6.489759729,11.44663207,0.002380154,5.545843601,-5.517093201,12.39267274,0.010646198,5.554891131,-7.840327992,9.35456565,0.001937575,4.491982229,-3.125678352,8.015257054,0.005429156,4.53340977,-6.593118172,8.897778282,-0.005286504,4.451754322,-9.942267639,7.94730625,-0.010728858,4.138416523,-6.537223947,9.297124257,-0.001380992,4.027519237,-10.06475467,9.126657796,-0.004713186,4.000825145,-10.91217123,7.546544638,-0.006388277,3.878994703,-6.972478915,6.185580011,-0.001914903,3.87389175,-3.44903336,6.934013988,0.005913035,3.748191062,-6.495510607,8.36864867,0.006427348,4.088821333,blues
blues.00007.au,0.307921016,0.304798085,-1.28E-05,-1.28E-05,0.131785482,0.074389137,9.44E-05,9.44E-05,1451.754147,670.7500193,-0.335522646,-0.335522646,1577.369917,410.296438,-0.566017082,-0.566017082,22.44558331,7.241568644,-0.002507805,-0.002507805,0.001436104,0.003215431,-1.98E-06,-1.98E-06,2955.348796,1276.736549,-0.825634047,-0.825634047,0.061435003,0.043011743,1.78E-05,1.78E-05,-179.3954468,81.09185326,0.021262407,30.43724691,136.4592443,38.47554581,0.023884785,10.79914412,-26.65635893,24.32840859,-0.028598383,9.5017062,39.98802679,18.78255384,0.014961903,7.331906346,5.289679319,25.50454333,0.024144339,8.841263479,10.92442691,11.67802665,0.004381031,5.583690221,-20.56188911,12.80003487,0.003414133,5.49840015,8.513764279,12.30510267,-0.031069298,5.059020969,-11.3569082,13.11819457,0.005830777,5.648000957,-3.469077424,13.35470043,-0.017239656,5.226588647,-8.414554364,12.14870805,-0.01531051,4.452105318,-6.954826968,9.151857074,-0.003173001,4.662307602,-3.544535424,9.661952198,0.003270945,4.763657815,-8.0512422,7.576798671,0.008098343,3.946033949,-8.959536716,9.071356606,-0.002682384,4.519865572,-8.424337148,8.399364797,-0.009649625,3.923607397,-10.55888491,7.210455113,-0.016730895,3.949652626,-10.78815895,7.777361896,0.0065239,3.939341726,-4.69374852,8.099044056,0.007085058,4.202135818,-8.638613352,7.506549656,-0.006069057,3.892870824,blues
blues.00008.au,0.409037128,0.294156022,0.000185385,0.000185385,0.142438099,0.038829912,-9.08E-05,-9.08E-05,1719.213163,404.2108442,0.14295974,0.14295974,2031.643884,324.9814026,0.176956902,0.176956902,22.37836203,9.450632916,-0.007479196,-0.007479196,0.002593244,0.003045187,1.11E-06,1.11E-06,3781.318802,1123.806005,0.817294309,0.817294309,0.06402758,0.027053448,1.82E-05,1.82E-05,-121.3610235,51.22666519,-0.048818794,25.71343938,122.5131158,20.36899468,-0.007863882,10.42583973,-14.74212969,18.47756742,0.016766533,9.589018257,46.14344435,13.91389596,0.00727321,6.139347413,-8.165333685,13.30142814,-0.009081007,5.941576796,20.17652623,10.3465729,0.009746489,5.693825407,-19.17247842,7.595932332,0.000775085,4.542904938,23.05561674,8.764011947,-0.00078541,5.203035741,-11.83050252,6.522557553,-0.010466054,3.956269785,21.17700883,7.638631191,-0.012918155,4.7346594,-6.721190455,6.996883456,6.93E-05,4.155055274,7.01094493,7.488170239,-0.010042217,4.550803074,-12.74183302,7.865800771,0.023539635,4.287398985,5.066004868,7.109586592,-0.008467936,4.482751032,-5.175477933,5.735933344,-0.011897081,3.794933885,-1.444024596,7.107942952,-0.001574024,4.189809424,-7.037070159,5.374993013,-0.000581151,3.532752915,2.697451184,6.077715397,0.006473728,3.681844384,3.409808579,5.808513988,0.009711076,3.711712764,-2.698352833,6.00577465,-0.012747077,4.065962539,blues
blues.00009.au,0.274009231,0.303863693,-0.000147908,-0.000147908,0.081352018,0.065941885,-6.41E-05,-6.41E-05,1817.516386,546.1623421,-0.37573338,-0.37573338,1973.73907,337.8790528,0.023058695,0.023058695,21.16450885,7.958557033,-0.001638006,-0.001638006,0.002708272,0.003213217,-3.69E-06,-3.69E-06,3944.451148,1169.409277,-0.692198241,-0.692198241,0.079215318,0.037101992,-6.81E-06,-6.81E-06,-213.1808031,78.31963619,-0.076361841,18.29487649,115.1527937,28.26088057,0.003059663,9.043664204,-11.71626441,25.8611632,0.028719383,7.523944501,39.02947022,18.72648077,-0.020534909,6.2316358,-20.35275538,23.07006309,0.009576365,6.375661217,13.08240382,16.70355459,0.027611062,5.122467454,-9.173480965,11.26233597,-0.022523198,4.539027507,9.01614795,8.247937865,-0.002886342,4.067585814,-14.09791352,10.4950206,-0.002183133,4.385161538,4.278177139,9.618865378,-0.007403807,4.262607781,-6.039593544,9.216414437,-0.016624514,4.042526009,3.784770211,10.22360115,0.004961558,3.952612518,0.225668547,8.739881588,0.004134571,3.779254927,-5.11363841,9.243177682,0.005558175,3.718123696,-0.413063347,10.2016126,0.01333457,4.00721505,-1.184538344,7.703154163,0.007615852,3.679572887,-1.920714308,7.64486068,-0.002451304,3.64152071,-2.293728469,9.125133407,-0.015572286,3.742062741,2.891266393,8.776813023,-0.009366068,3.958719054,-4.233204324,9.567357975,-0.006794683,3.929075017,blues
